DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Sample_Groups
COLOR	#ff0000
LEGEND_TITLE	Sample Groups
LEGEND_SHAPES	1	1	1
LEGEND_COLORS	#1f77b4	#ff7f0e	#2ca02c
LEGEND_LABELS	Group_1	Group_2	Group_3
DATA
SRRSRRSRR37881949	#2ca02c	Group_3
SRRSRRSRR37881950	#2ca02c	Group_3
SRRSRRSRR37881951	#2ca02c	Group_3
SRRSRRSRR37881953	#2ca02c	Group_3
SRRSRRSRR37881954	#2ca02c	Group_3
SRRSRRSRR37881955	#2ca02c	Group_3
SRRSRRSRR37881961	#2ca02c	Group_3
SRRSRRSRR37881962	#2ca02c	Group_3
SRRSRRSRR37881963	#2ca02c	Group_3
SRRSRRSRR37881964	#2ca02c	Group_3
SRRSRRSRR37881966	#2ca02c	Group_3
SRRSRRSRR37881967	#2ca02c	Group_3
SRRSRRSRR37881968	#2ca02c	Group_3
SRRSRRSRR37881970	#2ca02c	Group_3
SRRSRRSRR37881972	#2ca02c	Group_3
SRRSRRSRR37881973	#2ca02c	Group_3
SRRSRRSRR37881975	#2ca02c	Group_3
SRRSRRSRR37881976	#2ca02c	Group_3
SRRSRRSRR37881977	#2ca02c	Group_3
SRRSRRSRR37881978	#2ca02c	Group_3
SRRSRRSRR37881982	#2ca02c	Group_3
SRRSRRSRR37881983	#2ca02c	Group_3
SRRSRRSRR37881984	#2ca02c	Group_3
SRRSRRSRR37881985	#2ca02c	Group_3
SRRSRRSRR37881988	#2ca02c	Group_3
SRRSRRSRR37881989	#2ca02c	Group_3
SRRSRRSRR37881990	#2ca02c	Group_3
SRRSRRSRR37881991	#2ca02c	Group_3
SRRSRRSRR37881993	#2ca02c	Group_3
SRRSRRSRR37881995	#2ca02c	Group_3
SRRSRRSRR37881997	#2ca02c	Group_3
SRRSRRSRR37881998	#2ca02c	Group_3
SRRSRRSRR37881999	#2ca02c	Group_3
SRRSRRSRR387658	#1f77b4	Group_1
SRRSRRSRR387665	#1f77b4	Group_1
SRRSRRSRR401029	#1f77b4	Group_1
SRRSRRSRR401035	#1f77b4	Group_1
SRRSRRSRR401037	#1f77b4	Group_1
SRRSRRSRR401038	#1f77b4	Group_1
SRRSRRSRR401317	#1f77b4	Group_1
SRRSRRSRR401836	#1f77b4	Group_1
SRRSRRSRR401838	#1f77b4	Group_1
SRRSRRSRR401845	#1f77b4	Group_1
SRRSRRSRR401848	#1f77b4	Group_1
SRRSRRSRR4090967	#1f77b4	Group_1
SRRSRRSRR4136224	#1f77b4	Group_1
SRRSRRSRR446557	#1f77b4	Group_1
SRRSRRSRR519334	#1f77b4	Group_1
SRRSRRSRR536825	#1f77b4	Group_1
SRRSRRSRR543896	#1f77b4	Group_1
SRRSRRSRR543899	#1f77b4	Group_1
SRRSRRSRR5945983	#1f77b4	Group_1
SRRSRRSRR6780911	#1f77b4	Group_1
SRRSRRSRR6780913	#1f77b4	Group_1
SRRSRRSRR6780915	#1f77b4	Group_1
SRRSRRSRR6780917	#1f77b4	Group_1
SRRSRRSRR6780919	#1f77b4	Group_1
SRRSRRSRR6780921	#1f77b4	Group_1
SRRSRRSRR6780923	#1f77b4	Group_1
SRRSRRSRR6830110	#1f77b4	Group_1
SRRSRRSRR7281421	#1f77b4	Group_1
SRRSRRSRR770039	#1f77b4	Group_1
SRRSRRSRR770040	#1f77b4	Group_1
SRRSRRSRR770043	#1f77b4	Group_1
SRRSRRSRR8144342	#1f77b4	Group_1
SRRSRRSRR8144343	#1f77b4	Group_1
SRRSRRSRR8257183	#1f77b4	Group_1
SRRSRRSRR8257184	#1f77b4	Group_1
SRRSRRSRR8400823	#1f77b4	Group_1
SRRSRRSRR848065	#1f77b4	Group_1
SRRSRRSRR848066	#1f77b4	Group_1
SRRSRRSRR8782623	#1f77b4	Group_1
SRRSRRSRR900716	#1f77b4	Group_1
SRRSRRSRR951579	#1f77b4	Group_1
SRRSRRSRR951580	#1f77b4	Group_1
SRRSRRSRR951581	#1f77b4	Group_1
SRRSRRSRR951583	#1f77b4	Group_1
SRRSRRSRR951587	#1f77b4	Group_1
SRRSRRSRR951588	#1f77b4	Group_1
SRRSRRSRR951589	#1f77b4	Group_1
SRRSRRSRR951590	#1f77b4	Group_1
SRRSRRSRR965187	#1f77b4	Group_1
SRRSRRSRR965188	#1f77b4	Group_1
SRRSRRSRR9701154	#1f77b4	Group_1
